date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,data_fluctuation
2014-09-01,Rahata,pomegranate,43143,1435,9285,5978,Ahmadnagar,2014,9,5978.0,1.0,1.06988836367886,0.9346769569130131,5587.498848425992,7850
2014-10-01,Pune-Manjri,green-peas,1,0,10000,0,Pune,2014,10,857.0,0.0,0.6932672464622641,0.0,0.0,10000
2014-11-01,Indapur-Bhigwan,ghevdaseed,3,4525,24756,4731,Pune,2014,11,4731.0,1.0,1.096774193548387,0.911764705882353,4313.558823529412,20231
2014-12-01,Umared,lentil,1,2525,25250,2525,Nagpur,2014,12,3273.6666666666665,0.7713063842785868,0.7713063842785868,1.0,3273.6666666666665,22725
2015-01-01,Indapur,pomegranate,8083,1808,10754,3454,Pune,2015,1,3454.0,1.0,1.0,1.0,3454.0,8946
2015-02-01,Indapur,pomegranate,8336,2233,12475,4283,Pune,2015,2,3868.5,1.1071474731808195,1.0389904032570765,1.065599325759007,4122.270991698719,10242
2015-03-01,Rahata,pomegranate,6562,1500,13595,7818,Ahmadnagar,2015,3,7196.5,1.0863614256930452,1.0352537832288804,1.049367259788961,7551.771485071257,12095
2015-04-01,Solapur,pomegranate,12344,1109,12161,3674,Solapur,2015,4,3264.5,1.125440343084699,1.007754525071394,1.116780242693495,3645.729102272914,11052
2015-05-01,Solapur,pomegranate,11017,935,9550,2780,Solapur,2015,5,3167.6,0.8776360651597425,0.9086379666402313,0.9658809089882947,3059.5243673113223,8615
2015-06-01,Rahata,pomegranate,30049,1409,12500,7205,Ahmadnagar,2015,6,7199.333333333333,1.000787109917585,1.000787109917585,1.0,7199.333333333334,11091
2015-07-01,Pune,custardapple,240,2167,11667,6333,Pune,2015,7,6333.0,1.0,1.0,1.0,6333.0,9500
2015-08-01,Kurdwadi,gram,15,3467,14802,3584,Solapur,2015,8,3404.875,1.0526083923785747,1.0526083923785747,1.0,3404.8750000000005,11335
2015-09-01,Rahata,pomegranate,59099,1000,16188,6792,Ahmadnagar,2015,9,6908.833333333333,0.9830892818372615,1.06988836367886,0.9188708983214511,6348.325891353185,15188
2015-10-01,Rahata,pomegranate,34489,1050,18675,7600,Ahmadnagar,2015,10,7007.571428571428,1.0845412105273888,1.0510174147867444,1.0318965178587898,7231.088555789602,17625
2015-11-01,Rahata,pomegranate,32526,1000,11969,5906,Ahmadnagar,2015,11,6869.875,0.8596954093051183,0.9115446658857072,0.9431193461812327,6479.1120183467965,10969
2015-12-01,Kolhapur,bullockheart,10,2000,15000,5000,Kolhapur,2015,12,5000.0,1.0,1.0,1.0,5000.0,13000
2016-01-01,Indapur,pomegranate,13481,1917,11842,3458,Pune,2016,1,3458.0,1.0,1.0,1.0,3458.0,9925
2016-02-01,Indapur,pomegranate,14559,1985,12200,3262,Pune,2016,2,3360.0,0.9708333333333333,1.0389904032570765,0.9344006742409928,3139.586265449736,10215
2016-03-01,Kolhapur,mango,1059,3129,13282,5348,Kolhapur,2016,3,5348.0,1.0,1.0,1.0,5348.0,10153
2016-04-01,Kolhapur,lemon,690,2500,13269,7308,Kolhapur,2016,4,4063.5,1.7984496124031009,1.7984496124031009,1.0,4063.5,10769
2016-05-01,Rahata,pomegranate,22830,1000,12640,6220,Ahmadnagar,2016,5,6061.8,1.0260978587218317,1.0260978587218317,1.0,6061.800000000001,11640
2016-06-01,Kolhapur-Laxmipuri,lentil,104,6712,16269,7065,Kolhapur,2016,6,7597.0,0.9299723575095432,0.9299723575095432,1.0,7597.0,9557
2016-07-01,Rahata,pomegranate,33292,238,12628,5920,Ahmadnagar,2016,7,6038.166666666667,0.9804300422313615,0.9398040523780188,1.0432281492621205,6299.185436602895,12390
2016-08-01,Rahata,pomegranate,56574,250,14623,5519,Ahmadnagar,2016,8,5964.0,0.9253856472166331,0.9531576111216601,0.9708631987186827,5790.2281171582235,14373
2016-09-01,Umarkhed,pigeonpea(tur),120,5800,61200,6000,Yewatmal,2016,9,6416.5,0.9350892230967038,0.9675446115483519,0.9664559255828937,6201.264446502638,55400
2016-10-01,Rahata,pomegranate,48281,252,30563,6250,Ahmadnagar,2016,10,6173.111111111111,1.0124554519601137,1.0510174147867444,0.9633098726204693,5946.618878116448,30311
2016-11-01,Indapur,pomegranate,14983,1743,16443,4143,Pune,2016,11,3086.2727272727275,1.3423959468614686,1.1175545728326848,1.2011905096132125,3707.2015100780864,14700
