APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,Year,Month,data_fluctuation
Mumbai,cardamom,338,77333,116667,97000,2014-09,Mumbai,2014,9,39334
Mumbai,cardamom,484,80000,124000,96000,2014-10,Mumbai,2014,10,44000
Mumbai,cashewnuts,3612,52381,91429,71905,2014-11,Mumbai,2014,11,39048
Mumbai,cardamom,714,72667,120952,96810,2014-12,Mumbai,2014,12,48285
Mumbai,cardamom,958,70000,120800,95400,2015-01,Mumbai,2015,1,50800
Mumbai,cardamom,581,90000,134375,112188,2015-02,Mumbai,2015,2,44375
Mumbai,cardamom,398,84667,134667,109667,2015-03,Mumbai,2015,3,50000
Mumbai,cardamom,288,83333,128333,105833,2015-04,Mumbai,2015,4,45000
Mumbai,cardamom,361,95000,154167,124583,2015-05,Mumbai,2015,5,59167
Mumbai,cardamom,314,93420,156473,124947,2015-06,Mumbai,2015,6,63053
Mumbai,cardamom,502,61718,113376,87547,2015-07,Mumbai,2015,7,51658
Mumbai,cardamom,194,41000,80000,60500,2015-08,Mumbai,2015,8,39000
Mumbai,cashewnuts,4939,62905,119048,90976,2015-09,Mumbai,2015,9,56143
Mumbai,cashewnuts,7756,70000,140000,105000,2015-10,Mumbai,2015,10,70000
Mumbai,cashewnuts,5945,62391,111304,86848,2015-11,Mumbai,2015,11,48913
Anajngaon Surji,chillies(red),113,8000,40500,8400,2015-12,Amaravathi,2015,12,32500
Mumbai,cardamom,836,41214,80000,60607,2016-01,Mumbai,2016,1,38786
Sangli-Phale Bhajipalam,mango,78,17422,83075,43218,2016-02,Sangli,2016,2,65653
Mumbai,cardamom,308,40000,80000,60000,2016-03,Mumbai,2016,3,40000
Atpadi,goats,354,4000,1600090,10000,2016-04,Sangli,2016,4,1596090
Mumbai,cardamom,329,50000,90000,70000,2016-05,Mumbai,2016,5,40000
Mumbai,cardamom,174,44286,78571,61429,2016-06,Mumbai,2016,6,34285
Mumbai,cardamom,740,53636,93636,73636,2016-07,Mumbai,2016,7,40000
Mumbai,cardamom,333,70000,110000,90000,2016-08,Mumbai,2016,8,40000
Mumbai,cardamom,342,84286,145714,115000,2016-09,Mumbai,2016,9,61428
Mumbai,cardamom,788,86471,152941,119706,2016-10,Mumbai,2016,10,66470
Mumbai,cardamom,564,110313,174375,142344,2016-11,Mumbai,2016,11,64062
