commodity,year,Type,msprice,msp_filter,date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,raw_comparison,deseasonalised_comaprison
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Brahmpuri,paddy-unhusked,2378.0,2660.0,2755.0,2708.0,Chandrapur,2014.0,9.0,2708.0,1.0,1.0646652946983952,0.939262324957522,2543.5223759849696,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Aheri,paddy-unhusked,20.0,1400.0,1400.0,1400.0,Gadchiroli,2014.0,9.0,1400.0,1.0,0.9493492183733903,1.0533531609299627,1474.6944253019476,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Armori,paddy-unhusked,2432.0,2026.0,2109.0,2073.0,Gadchiroli,2014.0,9.0,2073.0,1.0,1.0800796479902817,0.9258576456474419,1919.3028994271472,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Armori-Desaiganj,paddy-unhusked,33424.0,1700.0,1953.0,1871.0,Gadchiroli,2014.0,9.0,1871.0,1.0,1.0507944035515668,0.9516609496777986,1780.5576368471611,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Gadchiroli,paddy-unhusked,6752.0,2040.0,2210.0,2151.0,Gadchiroli,2014.0,9.0,2151.0,1.0,1.068279028600345,0.9360850238820059,2013.5188863701947,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Kolhapur-Laxmipuri,paddy-unhusked,2400.0,1600.0,1750.0,1700.0,Kolhapur,2014.0,9.0,1700.0,1.0,1.0,1.0,1700.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Aamgaon,paddy-unhusked,2779.0,1645.0,1843.0,1744.0,Gondiya,2014.0,9.0,1744.0,1.0,1.0611397365936954,0.942382954397734,1643.5158724696482,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Arjuni Morgaon,paddy-unhusked,3394.0,1911.0,2005.0,1959.0,Gondiya,2014.0,9.0,1959.0,1.0,1.1378314841190644,0.878864765087972,1721.696074807337,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Tiroda,paddy-unhusked,9111.0,2035.0,2172.0,2102.0,Gondiya,2014.0,9.0,2102.0,1.0,1.0184629436325678,0.9818717570943566,2063.8944334123375,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Ghoti,paddy-unhusked,30.0,2200.0,2200.0,2200.0,Nasik,2014.0,9.0,2200.0,1.0,1.0,1.0,2200.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Ausa,paddy-unhusked,11.0,851.0,1106.0,986.0,Latur,2014.0,9.0,986.0,1.0,1.0183966861598441,0.9819356382342385,968.1885392989591,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Chimur,paddy-unhusked,525.0,1996.0,2171.0,2126.0,Chandrapur,2014.0,9.0,2126.0,1.0,1.0478179648176016,0.9543642441500557,2028.9783830630183,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Gondpimpri,paddy-unhusked,431.0,2048.0,2121.0,2081.0,Chandrapur,2014.0,9.0,2081.0,1.0,1.0826537206347835,0.9236563648566027,1922.1288952665902,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Mul,paddy-unhusked,23693.0,2207.0,2584.0,2397.0,Chandrapur,2014.0,9.0,2397.0,1.0,1.0766531805445096,0.9288042036844745,2226.343676231685,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Nagbhid,paddy-unhusked,15902.0,2257.0,2500.0,2378.0,Chandrapur,2014.0,9.0,2378.0,1.0,1.0973481768407771,0.9112877946168018,2167.0423755987545,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Savali,paddy-unhusked,2838.0,2500.0,2600.0,2550.0,Chandrapur,2014.0,9.0,2550.0,1.0,1.0834134615384614,0.9230086532061239,2353.672065675616,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Sindevahi,paddy-unhusked,1673.0,2578.0,2678.0,2628.0,Chandrapur,2014.0,9.0,2628.0,1.0,1.0806910926009659,0.9253338043096463,2431.7772377257506,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Vasai,paddy-unhusked,80.0,1500.0,1800.0,1650.0,Thane,2014.0,9.0,1650.0,1.0,0.9983745123537061,1.0016281341582547,1652.6864213611202,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Umarga,paddy-unhusked,6.0,876.0,1225.0,1163.0,Osmanabad,2014.0,9.0,1163.0,1.0,1.0,1.0,1163.0,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Tuljapur,paddy-unhusked,28.0,825.0,837.0,831.0,Osmanabad,2014.0,9.0,831.0,1.0,1.0,1.0,831.0,Below_MSP,Below_MSP
